340 | 1.2853
815 | 0.1404
552 | 0.3876
534 | 0.8772
691 | 1.3263
941 | 3.0596
341 | 0.961
583 | 0.9921
662 | 0.4695
781 | 0.1348
220 | 0.33
263 | 0.8606
655 | 0.4808
549 | 2.0066
500 | 0.4444
462 | 0.4202
844 | 0.5556
971 | 2.3529
244 | 2.2312
822 | 0.6944
966 | 0.3984
234 | 0.9346
999 | 0.3282
900 | 2.4476
416 | 0.5
368 | 1.5106
795 | 0.5988
6 | 1.0929
26 | 1.2739
975 | 0.5714
722 | 1.5251
927 | 1.1811
318 | 0.5714
863 | 0.4405
666 | 0.8299
282 | 1.5371
868 | 2.1739
756 | 0.5797
996 | 0.0695
962 | 0.4167
931 | 0.361
887 | 0.5721
866 | 0.3831
851 | 1.2057
668 | 0.789
467 | 0.1881
261 | 0.2985
326 | 1.2048
188 | 0.3663
852 | 1.6393
716 | 0.3623
252 | 0.813
23 | 0.3984
231 | 1.6736
893 | 0.6452
932 | 0.3257
739 | 1.354
299 | 0.7968
12 | 0.4024
681 | 0.6757
393 | 1.0309
933 | 0.3906
702 | 1.2245
228 | 1.1111
279 | 4.0741
56 | 1.1364
490 | 0.4815
120 | 2.9412
994 | 0.4673
344 | 1.3636
774 | 1.5495
187 | 2.5203
636 | 1.7878
928 | 1.1076
461 | 1.4894
607 | 0.9671
872 | 1.941
528 | 1.25
130 | 1.5428
631 | 1.9551
501 | 1.1429
128 | 1.1029
276 | 1.3528
235 | 0.7491
765 | 2.0384
960 | 0.6098
732 | 1.3491
440 | 0.9574
674 | 0.6957
203 | 0.4348
841 | 1.0249
110 | 0.5698
246 | 1.2739
55 | 0.7619
825 | 1.5972
260 | 0.2899
176 | 0.7212
919 | 0.2809
752 | 0.1938
784 | 0.365
290 | 0.6337
268 | 0.9554
712 | 0.9404
365 | 0.5587
197 | 0.7519
275 | 0.6667
54 | 0.2088
701 | 0.8048
408 | 1.5564
551 | 1.6393
38 | 0.9346
826 | 3.3311
131 | 1.8904
686 | 2.0
632 | 2.6486
136 | 2.4752
619 | 2.038
985 | 1.7945
809 | 1.8428
519 | 2.9126
610 | 1.7668
291 | 1.4373
5 | 0.7123
878 | 1.3857
532 | 1.2121
654 | 0.9756
105 | 0.3279
885 | 0.3344
388 | 0.6349
772 | 0.3584
453 | 4.803
339 | 2.7664
285 | 2.4213
60 | 2.4869
248 | 3.4436
848 | 4.2875
992 | 0.4405
360 | 1.2594
801 | 4.8017
249 | 3.0408
536 | 4.0
405 | 3.726
415 | 1.199
310 | 1.1811
929 | 1.0733
545 | 1.3201
50 | 1.4944
73 | 1.1161
831 | 2.3723
143 | 2.2901
564 | 2.2599
458 | 1.005
372 | 3.1603
836 | 2.4316
775 | 0.3521
590 | 1.4315
618 | 3.5108
69 | 1.6901
8 | 2.9714
891 | 2.439
854 | 2.3404
194 | 2.0974
206 | 1.4028
516 | 1.725
316 | 1.5209
171 | 0.7082
764 | 0.2981
567 | 0.3221
724 | 0.9496
696 | 0.5655
624 | 0.085
353 | 0.0395
741 | 0.1733
608 | 0.4863
455 | 0.2063
835 | 0.4516
433 | 0.3274
382 | 0.1417
367 | 0.4839
802 | 0.3285
695 | 0.2821
381 | 0.1928
663 | 0.4503
417 | 0.1477
27 | 0.3525
215 | 0.3023
470 | 0.7563
471 | 0.6729
793 | 0.3054
625 | 0.2612
58 | 0.1538
814 | 0.0958
402 | 0.6342
946 | 0.235
575 | 0.0328
123 | 0.4089
256 | 0.503
726 | 0.3438
177 | 0.6981
449 | 0.5487
431 | 0.4378
90 | 0.8234
879 | 1.0359
379 | 0.979
682 | 0.5222
399 | 1.1815
531 | 1.6275
158 | 0.5859
72 | 0.4566
721 | 1.073
976 | 0.9426
150 | 0.5747
776 | 1.3958
897 | 0.9911
380 | 0.3783
481 | 0.722
